instance,set,ng,mode,cost,paths,time_s,timestamp
A-n54-k7-149,spprclib,8,para_bidir,-16865.000,1,0.086,2026-06-25T20:07:20Z
A-n60-k9-57,spprclib,8,para_bidir,-16517.000,1,0.089,2026-06-25T20:07:20Z
A-n61-k9-80,spprclib,8,para_bidir,-45460.000,1,0.086,2026-06-25T20:07:20Z
A-n62-k8-99,spprclib,8,para_bidir,-45515.000,1,0.167,2026-06-25T20:07:20Z
A-n63-k10-44,spprclib,8,para_bidir,-33560.000,1,0.081,2026-06-25T20:07:20Z
A-n63-k9-157,spprclib,8,para_bidir,-39133.000,1,0.092,2026-06-25T20:07:20Z
A-n64-k9-45,spprclib,8,para_bidir,-73637.000,1,0.139,2026-06-25T20:07:20Z
A-n65-k9-10,spprclib,8,para_bidir,-44002.000,1,0.103,2026-06-25T20:07:20Z
A-n69-k9-42,spprclib,8,para_bidir,-43290.000,1,0.123,2026-06-25T20:07:20Z
A-n80-k10-14,spprclib,8,para_bidir,-135733.000,1,0.823,2026-06-25T20:07:20Z
B-n45-k6-54,spprclib,8,para_bidir,-135225.000,1,0.109,2026-06-25T20:07:20Z
B-n50-k8-40,spprclib,8,para_bidir,-13463.000,1,0.083,2026-06-25T20:07:20Z
B-n52-k7-15,spprclib,8,para_bidir,-95664.000,1,0.219,2026-06-25T20:07:20Z
B-n57-k7-20,spprclib,8,para_bidir,-5829590.000,1,0.662,2026-06-25T20:07:20Z
B-n66-k9-50,spprclib,8,para_bidir,-41849.000,1,0.202,2026-06-25T20:07:20Z
B-n67-k10-26,spprclib,8,para_bidir,-77432.000,1,0.114,2026-06-25T20:07:20Z
B-n68-k9-65,spprclib,8,para_bidir,-43590.000,1,0.225,2026-06-25T20:07:20Z
B-n78-k10-70,spprclib,8,para_bidir,-61777.000,1,0.226,2026-06-25T20:07:20Z
E-n101-k14-158,spprclib,8,para_bidir,-3990.000,1,0.179,2026-06-25T20:07:20Z
E-n101-k8-291,spprclib,8,para_bidir,-19321.000,1,0.281,2026-06-25T20:07:20Z
E-n76-k10-72,spprclib,8,para_bidir,-25241.000,1,0.172,2026-06-25T20:07:20Z
E-n76-k14-102,spprclib,8,para_bidir,-3493.000,1,0.074,2026-06-25T20:07:20Z
E-n76-k15-40,spprclib,8,para_bidir,-3474.000,1,0.069,2026-06-25T20:07:20Z
E-n76-k7-44,spprclib,8,para_bidir,-23458.000,1,0.275,2026-06-25T20:07:20Z
G-n262-k25-316,spprclib,8,para_bidir,,,,2026-06-25T20:07:20Z
M-n101-k10-97,spprclib,8,para_bidir,-36792.000,1,0.373,2026-06-25T20:07:20Z
M-n121-k7-260,spprclib,8,para_bidir,-210278.000,1,43.447,2026-06-25T20:07:20Z
M-n151-k12-15,spprclib,8,para_bidir,-95905.000,1,27.556,2026-06-25T20:07:20Z
M-n200-k16-143,spprclib,8,para_bidir,-392200.000,1,5.918,2026-06-25T20:07:20Z
M-n200-k17-12,spprclib,8,para_bidir,-131862.000,1,72.586,2026-06-25T20:07:20Z
P-n101-k4-174,spprclib,8,para_bidir,-20508.000,1,2.024,2026-06-25T20:07:20Z
P-n50-k10-24,spprclib,8,para_bidir,-3190.000,1,0.039,2026-06-25T20:07:20Z
P-n50-k7-92,spprclib,8,para_bidir,-2413.000,1,0.049,2026-06-25T20:07:20Z
P-n50-k8-19,spprclib,8,para_bidir,-135220.000,1,0.111,2026-06-25T20:07:20Z
P-n51-k10-30,spprclib,8,para_bidir,-4952.000,1,0.050,2026-06-25T20:07:20Z
P-n55-k10-44,spprclib,8,para_bidir,-3740.000,1,0.048,2026-06-25T20:07:20Z
P-n55-k15-88,spprclib,8,para_bidir,-13961.000,1,0.048,2026-06-25T20:07:20Z
P-n55-k7-116,spprclib,8,para_bidir,-19023.000,1,0.084,2026-06-25T20:07:20Z
P-n55-k8-260,spprclib,8,para_bidir,-3700.000,1,0.066,2026-06-25T20:07:20Z
P-n60-k10-24,spprclib,8,para_bidir,-15001.000,1,0.073,2026-06-25T20:07:20Z
P-n60-k15-8,spprclib,8,para_bidir,-3535.000,1,0.037,2026-06-25T20:07:20Z
P-n65-k10-102,spprclib,8,para_bidir,-3333.000,1,0.058,2026-06-25T20:07:20Z
P-n70-k10-12,spprclib,8,para_bidir,-70317.000,1,0.255,2026-06-25T20:07:20Z
P-n76-k4-41,spprclib,8,para_bidir,-89442.000,1,50.602,2026-06-25T20:07:20Z
P-n76-k5-16,spprclib,8,para_bidir,-107633.000,1,11.907,2026-06-25T20:07:20Z
A-n54-k7-149,spprclib,16,para_bidir,-12492.000,1,0.399,2026-06-25T20:13:05Z
A-n60-k9-57,spprclib,16,para_bidir,-4946.000,1,0.411,2026-06-25T20:13:05Z
A-n61-k9-80,spprclib,16,para_bidir,-31439.000,1,0.342,2026-06-25T20:13:05Z
A-n62-k8-99,spprclib,16,para_bidir,-35969.000,1,1.133,2026-06-25T20:13:05Z
A-n63-k10-44,spprclib,16,para_bidir,-32561.000,1,0.292,2026-06-25T20:13:05Z
A-n63-k9-157,spprclib,16,para_bidir,-35868.000,1,0.263,2026-06-25T20:13:05Z
A-n64-k9-45,spprclib,16,para_bidir,-51659.000,1,0.435,2026-06-25T20:13:05Z
A-n65-k9-10,spprclib,16,para_bidir,-44002.000,1,0.464,2026-06-25T20:13:05Z
A-n69-k9-42,spprclib,16,para_bidir,-43290.000,1,0.485,2026-06-25T20:13:05Z
A-n80-k10-14,spprclib,16,para_bidir,-105283.000,1,5.572,2026-06-25T20:13:05Z
B-n45-k6-54,spprclib,16,para_bidir,-120054.000,1,0.136,2026-06-25T20:13:05Z
B-n50-k8-40,spprclib,16,para_bidir,-12832.000,1,0.530,2026-06-25T20:13:05Z
B-n52-k7-15,spprclib,16,para_bidir,-74998.000,1,5.896,2026-06-25T20:13:05Z
B-n57-k7-20,spprclib,16,para_bidir,-5829590.000,1,0.700,2026-06-25T20:13:05Z
B-n66-k9-50,spprclib,16,para_bidir,-26520.000,1,6.872,2026-06-25T20:13:05Z
B-n67-k10-26,spprclib,16,para_bidir,-21924.000,1,1.273,2026-06-25T20:13:05Z
B-n68-k9-65,spprclib,16,para_bidir,-31001.000,1,1.344,2026-06-25T20:13:05Z
B-n78-k10-70,spprclib,16,para_bidir,-45666.000,1,1.842,2026-06-25T20:13:05Z
E-n101-k14-158,spprclib,16,para_bidir,-3590.000,1,0.922,2026-06-25T20:13:05Z
E-n101-k8-291,spprclib,16,para_bidir,-4266.000,1,1.645,2026-06-25T20:13:05Z
E-n76-k10-72,spprclib,16,para_bidir,-25241.000,1,1.042,2026-06-25T20:13:05Z
E-n76-k14-102,spprclib,16,para_bidir,-2328.000,1,0.207,2026-06-25T20:13:05Z
E-n76-k15-40,spprclib,16,para_bidir,-742.000,1,0.192,2026-06-25T20:13:05Z
E-n76-k7-44,spprclib,16,para_bidir,-23458.000,1,1.972,2026-06-25T20:13:05Z
G-n262-k25-316,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
M-n101-k10-97,spprclib,16,para_bidir,-32628.000,1,2.648,2026-06-25T20:13:05Z
M-n121-k7-260,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
M-n151-k12-15,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
M-n200-k16-143,spprclib,16,para_bidir,-392200.000,1,10.164,2026-06-25T20:13:05Z
M-n200-k17-12,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
P-n101-k4-174,spprclib,16,para_bidir,-19847.000,1,19.273,2026-06-25T20:13:05Z
P-n50-k10-24,spprclib,16,para_bidir,-2965.000,1,0.054,2026-06-25T20:13:05Z
P-n50-k7-92,spprclib,16,para_bidir,-2.000,1,0.077,2026-06-25T20:13:05Z
P-n50-k8-19,spprclib,16,para_bidir,-124964.000,1,0.140,2026-06-25T20:13:05Z
P-n51-k10-30,spprclib,16,para_bidir,-2.000,1,0.093,2026-06-25T20:13:05Z
P-n55-k10-44,spprclib,16,para_bidir,-1090.000,1,0.072,2026-06-25T20:13:05Z
P-n55-k15-88,spprclib,16,para_bidir,-11485.000,1,0.063,2026-06-25T20:13:05Z
P-n55-k7-116,spprclib,16,para_bidir,-19023.000,1,0.194,2026-06-25T20:13:05Z
P-n55-k8-260,spprclib,16,para_bidir,-3573.000,1,0.186,2026-06-25T20:13:05Z
P-n60-k10-24,spprclib,16,para_bidir,-15001.000,1,0.159,2026-06-25T20:13:05Z
P-n60-k15-8,spprclib,16,para_bidir,-534.000,1,0.053,2026-06-25T20:13:05Z
P-n65-k10-102,spprclib,16,para_bidir,-2988.000,1,0.094,2026-06-25T20:13:05Z
P-n70-k10-12,spprclib,16,para_bidir,-70317.000,1,0.753,2026-06-25T20:13:05Z
P-n76-k4-41,spprclib,16,para_bidir,,,,2026-06-25T20:13:05Z
P-n76-k5-16,spprclib,16,para_bidir,-107633.000,1,62.767,2026-06-25T20:13:05Z
A-n54-k7-149,spprclib,24,para_bidir,-12492.000,1,3.049,2026-06-25T20:21:42Z
A-n60-k9-57,spprclib,24,para_bidir,-4946.000,1,2.196,2026-06-25T20:21:42Z
A-n61-k9-80,spprclib,24,para_bidir,-23549.000,1,2.870,2026-06-25T20:21:42Z
A-n62-k8-99,spprclib,24,para_bidir,-35969.000,1,10.178,2026-06-25T20:21:42Z
A-n63-k10-44,spprclib,24,para_bidir,-32561.000,1,1.676,2026-06-25T20:21:42Z
A-n63-k9-157,spprclib,24,para_bidir,-35868.000,1,1.098,2026-06-25T20:21:42Z
A-n64-k9-45,spprclib,24,para_bidir,-50550.000,1,2.011,2026-06-25T20:21:42Z
A-n65-k9-10,spprclib,24,para_bidir,-44002.000,1,2.670,2026-06-25T20:21:42Z
A-n69-k9-42,spprclib,24,para_bidir,-43290.000,1,2.341,2026-06-25T20:21:42Z
A-n80-k10-14,spprclib,24,para_bidir,-105283.000,1,24.840,2026-06-25T20:21:42Z
B-n45-k6-54,spprclib,24,para_bidir,-118756.000,1,0.431,2026-06-25T20:21:42Z
B-n50-k8-40,spprclib,24,para_bidir,-12832.000,1,5.580,2026-06-25T20:21:42Z
B-n52-k7-15,spprclib,24,para_bidir,-74998.000,1,38.641,2026-06-25T20:21:42Z
B-n57-k7-20,spprclib,24,para_bidir,-5829590.000,1,0.783,2026-06-25T20:21:42Z
B-n66-k9-50,spprclib,24,para_bidir,-26520.000,1,37.206,2026-06-25T20:21:42Z
B-n67-k10-26,spprclib,24,para_bidir,-21924.000,1,10.726,2026-06-25T20:21:42Z
B-n68-k9-65,spprclib,24,para_bidir,-31001.000,1,31.826,2026-06-25T20:21:42Z
B-n78-k10-70,spprclib,24,para_bidir,-44333.000,1,96.804,2026-06-25T20:21:42Z
E-n101-k14-158,spprclib,24,para_bidir,-3590.000,1,5.530,2026-06-25T20:21:42Z
E-n101-k8-291,spprclib,24,para_bidir,-4266.000,1,15.237,2026-06-25T20:21:42Z
E-n76-k10-72,spprclib,24,para_bidir,-25241.000,1,9.275,2026-06-25T20:21:42Z
E-n76-k14-102,spprclib,24,para_bidir,-1.000,1,0.897,2026-06-25T20:21:42Z
E-n76-k15-40,spprclib,24,para_bidir,-1.000,1,0.681,2026-06-25T20:21:42Z
E-n76-k7-44,spprclib,24,para_bidir,-22214.000,1,21.307,2026-06-25T20:21:42Z
G-n262-k25-316,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
M-n101-k10-97,spprclib,24,para_bidir,-32628.000,1,39.880,2026-06-25T20:21:42Z
M-n121-k7-260,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
M-n151-k12-15,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
M-n200-k16-143,spprclib,24,para_bidir,-392200.000,1,8.487,2026-06-25T20:21:42Z
M-n200-k17-12,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
P-n101-k4-174,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
P-n50-k10-24,spprclib,24,para_bidir,-2965.000,1,0.072,2026-06-25T20:21:42Z
P-n50-k7-92,spprclib,24,para_bidir,-2.000,1,0.096,2026-06-25T20:21:42Z
P-n50-k8-19,spprclib,24,para_bidir,-110678.000,1,0.252,2026-06-25T20:21:42Z
P-n51-k10-30,spprclib,24,para_bidir,-2.000,1,0.231,2026-06-25T20:21:42Z
P-n55-k10-44,spprclib,24,para_bidir,-1090.000,1,0.100,2026-06-25T20:21:42Z
P-n55-k15-88,spprclib,24,para_bidir,-11485.000,1,0.095,2026-06-25T20:21:42Z
P-n55-k7-116,spprclib,24,para_bidir,-17824.000,1,0.565,2026-06-25T20:21:42Z
P-n55-k8-260,spprclib,24,para_bidir,-3573.000,1,0.642,2026-06-25T20:21:42Z
P-n60-k10-24,spprclib,24,para_bidir,-15001.000,1,0.562,2026-06-25T20:21:42Z
P-n60-k15-8,spprclib,24,para_bidir,-534.000,1,0.065,2026-06-25T20:21:42Z
P-n65-k10-102,spprclib,24,para_bidir,-3.000,1,0.182,2026-06-25T20:21:42Z
P-n70-k10-12,spprclib,24,para_bidir,-70317.000,1,3.605,2026-06-25T20:21:42Z
P-n76-k4-41,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
P-n76-k5-16,spprclib,24,para_bidir,,,,2026-06-25T20:21:42Z
